event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00300000,300,call,2026-01-14,pre_earnings_day,9.5,9.5,4.9,5.95,68,6.0401,41
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00300000,300,call,2026-01-15,earnings_day,5.0,5.75,3.61,4.85,286,4.506,72
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00300000,300,call,2026-01-16,expiration_day,5.0,5.0,0.01,0.02,5304,0.5237,952
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00305000,305,call,2026-01-14,pre_earnings_day,5.56,5.56,2.4,2.9,730,3.0126,258
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00305000,305,call,2026-01-15,earnings_day,3.95,3.95,1.2,1.65,815,1.7594,258
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00305000,305,call,2026-01-16,expiration_day,1.0,1.0,0.01,0.01,2021,0.1737,265
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00310000,310,call,2026-01-14,pre_earnings_day,3.58,3.58,1.0,1.22,2277,1.4887,326
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00310000,310,call,2026-01-15,earnings_day,1.0,1.25,0.31,0.41,1080,0.629,263
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116C00310000,310,call,2026-01-16,expiration_day,1.48,1.48,0.01,0.01,2325,0.0469,178
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00300000,300,put,2026-01-14,pre_earnings_day,1.12,2.17,0.75,1.25,3879,1.4454,900
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00300000,300,put,2026-01-15,earnings_day,1.07,2.03,0.51,0.6,924,1.0964,337
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00300000,300,put,2026-01-16,expiration_day,0.45,4.55,0.3,3.7,2961,2.9656,795
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00305000,305,put,2026-01-14,pre_earnings_day,2.1,4.55,1.75,3.29,1392,3.2991,467
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00305000,305,put,2026-01-15,earnings_day,3.3,4.59,2.29,2.56,843,3.4007,137
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00305000,305,put,2026-01-16,expiration_day,3.16,9.65,3.16,8.96,549,7.6935,123
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00310000,310,put,2026-01-14,pre_earnings_day,5.0,8.2,3.78,6.55,403,5.8034,155
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00310000,310,put,2026-01-15,earnings_day,6.0,8.62,5.95,6.91,623,7.5653,70
ADBE_Q4_2025_2026-01-15,ADBE,2026-01-15,2026-01-16,2026-01-15,O:ADBE260116P00310000,310,put,2026-01-16,expiration_day,5.82,14.1,5.82,13.7,319,12.342,97
