event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00195000,195,call,2026-02-03,pre_earnings_day,53.0,53.0,43.65,43.65,6,49.8767,5
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00195000,195,call,2026-02-04,earnings_day,18.0,21.34,8.15,8.24,2143,12.4834,656
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00195000,195,call,2026-02-05,post_day_1,7.05,10.45,1.75,2.25,13900,3.6657,3158
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00195000,195,call,2026-02-06,expiration_day,3.9,13.9,3.25,13.5,2597,9.3764,829
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00200000,200,call,2026-02-03,pre_earnings_day,50.0,50.0,38.0,42.45,210,41.1738,49
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00200000,200,call,2026-02-04,earnings_day,16.25,17.5,5.2,5.35,14081,7.5528,2812
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00200000,200,call,2026-02-05,post_day_1,5.45,6.8,0.66,0.84,30301,1.9792,5347
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00200000,200,call,2026-02-06,expiration_day,1.5,9.5,1.15,8.78,13500,4.3085,3263
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00205000,205,call,2026-02-03,pre_earnings_day,43.77,43.77,36.45,39.53,14,38.4307,9
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00205000,205,call,2026-02-04,earnings_day,14.3,14.3,3.05,3.2,20611,4.7006,4219
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00205000,205,call,2026-02-05,post_day_1,3.3,4.0,0.23,0.28,29934,1.6784,5744
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206C00205000,205,call,2026-02-06,expiration_day,0.43,4.2,0.35,3.5,50392,2.1192,10890
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00195000,195,put,2026-02-03,pre_earnings_day,0.16,0.48,0.13,0.2,4234,0.2487,514
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00195000,195,put,2026-02-04,earnings_day,0.6,3.69,0.25,2.94,27988,1.616,5250
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00195000,195,put,2026-02-05,post_day_1,2.52,6.25,1.48,4.78,20957,3.8342,6205
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00195000,195,put,2026-02-06,expiration_day,1.79,2.12,0.01,0.01,15049,0.2457,1753
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00200000,200,put,2026-02-03,pre_earnings_day,0.29,0.77,0.21,0.32,6919,0.415,1505
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00200000,200,put,2026-02-04,earnings_day,1.18,5.89,0.74,5.0,40035,2.9737,10484
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00200000,200,put,2026-02-05,post_day_1,3.5,9.91,2.8,8.4,9225,6.3659,2438
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00200000,200,put,2026-02-06,expiration_day,4.3,5.2,0.01,0.01,25256,0.7475,4339
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00205000,205,put,2026-02-03,pre_earnings_day,0.41,1.17,0.36,0.53,3302,0.6978,893
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00205000,205,put,2026-02-04,earnings_day,2.18,8.79,1.61,7.75,24893,4.1449,6461
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00205000,205,put,2026-02-05,post_day_1,7.15,14.46,4.95,12.74,3198,10.0233,779
AMD_Q4_2025_2026-02-04,AMD,2026-02-04,2026-02-06,2026-02-04,O:AMD260206P00205000,205,put,2026-02-06,expiration_day,8.05,8.98,0.01,0.01,38656,0.9956,5043
