event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-05,pre_earnings_day,24.5,24.5,21.22,21.84,420,23.3268,75
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-06,earnings_day,5.36,8.3,3.16,7.37,14793,4.6698,2308
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-09,post_day_1,6.25,8.82,2.96,5.55,11353,5.1357,1765
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-10,,4.85,8.38,4.0,4.02,3178,5.9897,770
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-11,,4.6,4.8,1.46,1.83,35114,2.3008,4300
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-12,,1.61,1.62,0.19,0.27,48573,0.5717,6470
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00205000,205,call,2026-02-13,expiration_day,0.17,0.27,0.01,0.01,42123,0.0557,2793
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-05,pre_earnings_day,20.45,20.85,17.7,18.07,185,19.0351,58
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-06,earnings_day,2.53,5.1,1.58,4.21,31566,2.9454,5229
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-09,post_day_1,3.4,5.1,1.37,2.67,28520,2.797,4555
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-10,,2.67,4.64,1.51,1.51,20302,2.7386,3477
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-11,,1.68,1.94,0.38,0.42,29269,0.7397,4630
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-12,,0.33,0.33,0.04,0.05,45287,0.1449,3521
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00210000,210,call,2026-02-13,expiration_day,0.04,0.06,0.01,0.01,7111,0.02,784
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-05,pre_earnings_day,17.15,17.2,14.0,15.52,531,15.7348,121
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-06,earnings_day,1.17,2.82,0.77,2.23,22175,1.5166,3473
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-09,post_day_1,1.68,2.52,0.65,1.06,26838,1.3861,4797
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-10,,0.99,2.05,0.47,0.47,24070,1.1531,4235
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-11,,0.48,0.57,0.1,0.11,21043,0.2074,2368
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-12,,0.09,0.09,0.01,0.02,12813,0.0355,974
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213C00215000,215,call,2026-02-13,expiration_day,0.02,0.03,0.01,0.01,4138,0.0105,366
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-05,pre_earnings_day,3.48,4.55,3.1,3.89,2680,3.7203,290
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-06,earnings_day,6.73,7.98,1.79,2.0,7526,3.8507,1385
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-09,post_day_1,2.15,4.5,0.92,1.68,8974,2.1657,1901
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-10,,1.6,2.41,0.7,1.9,9153,1.4982,1643
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-11,,1.37,3.85,1.21,2.59,11664,2.3621,3257
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-12,,2.6,7.56,2.6,5.65,9784,4.8061,1868
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00205000,205,put,2026-02-13,expiration_day,6.75,7.7,3.97,6.24,6867,5.3153,1105
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-05,pre_earnings_day,5.25,6.19,4.3,5.24,1925,5.2504,470
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-06,earnings_day,9.7,11.5,3.46,3.85,4398,6.2377,889
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-09,post_day_1,4.35,7.28,2.2,3.85,7138,3.6442,1423
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-10,,3.7,5.05,1.87,4.35,7534,2.726,1152
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-11,,3.55,7.8,3.3,6.01,2949,5.3376,748
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-12,,6.55,12.45,6.55,10.4,875,9.8148,272
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00210000,210,put,2026-02-13,expiration_day,11.1,12.45,8.8,11.1,293,11.0414,71
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-05,pre_earnings_day,6.2,8.18,5.9,7.1,5438,7.1995,421
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-06,earnings_day,14.16,15.33,6.44,6.65,2511,10.9528,508
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-09,post_day_1,8.6,12.0,4.6,7.13,1679,6.7004,398
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-10,,7.72,8.82,4.35,8.4,2984,7.0875,200
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-11,,7.35,12.57,7.35,10.9,626,10.452,168
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-12,,11.3,17.3,11.3,16.12,76148,16.2438,186
AMZN_Q4_2025_2026-02-06,AMZN,2026-02-06,2026-02-13,2026-02-06,O:AMZN260213P00215000,215,put,2026-02-13,expiration_day,16.1,17.3,13.94,16.25,217,15.6506,71
