event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00420000,420,call,2024-07-29,pre_earnings_day,17.95,17.95,13.73,14.7,404,15.2146,132
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00420000,420,call,2024-07-30,earnings_day,14.9,16.0,10.15,13.15,5844,11.5528,1671
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00420000,420,call,2024-07-31,post_day_1,6.9,7.0,2.45,3.6,19642,4.1327,5152
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00420000,420,call,2024-08-01,,4.4,8.52,1.24,2.15,19102,2.8887,3607
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00420000,420,call,2024-08-02,expiration_day,0.43,1.04,0.01,0.01,6878,0.1801,809
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00425000,425,call,2024-07-29,pre_earnings_day,14.84,15.12,10.95,12.01,3087,12.3208,757
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00425000,425,call,2024-07-30,earnings_day,12.21,13.0,8.11,10.62,7367,9.9496,1956
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00425000,425,call,2024-07-31,post_day_1,4.8,4.8,1.24,1.8,21166,2.5148,4511
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00425000,425,call,2024-08-01,,2.21,4.95,0.4,0.7,22718,2.2981,5290
MSFT_Q4_2024_2024-07-30,MSFT,2024-07-30,2024-08-02,2024-07-30,O:MSFT240802C00425000,425,call,2024-08-02,expiration_day,0.1,0.31,0.01,0.01,2116,0.0585,516
