event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00125000,125,call,2025-02-25,pre_earnings_day,9.22,9.35,6.54,7.55,15147,7.7488,2530
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00125000,125,call,2025-02-26,earnings_day,9.4,11.5,8.25,9.75,8904,9.7469,1758
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00125000,125,call,2025-02-27,post_day_1,10.4,10.4,0.67,0.67,103946,2.278,10570
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00125000,125,call,2025-02-28,expiration_day,0.27,0.79,0.01,0.15,153280,0.2183,12823
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00130000,130,call,2025-02-25,pre_earnings_day,6.55,6.6,4.3,5.25,65287,5.4304,10565
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00130000,130,call,2025-02-26,earnings_day,6.8,8.25,5.55,6.7,79940,6.6208,12522
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00130000,130,call,2025-02-27,post_day_1,6.4,6.4,0.12,0.13,254030,1.0838,26702
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00130000,130,call,2025-02-28,expiration_day,0.05,0.07,0.01,0.01,38597,0.0298,3070
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00135000,135,call,2025-02-25,pre_earnings_day,4.4,4.4,2.8,3.4,46713,3.4891,7268
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00135000,135,call,2025-02-26,earnings_day,4.6,5.5,3.47,4.23,63305,4.4384,11853
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00135000,135,call,2025-02-27,post_day_1,2.97,3.5,0.03,0.04,130842,0.5151,14185
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228C00135000,135,call,2025-02-28,expiration_day,0.04,0.04,0.01,0.01,16830,0.0106,1524
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00125000,125,put,2025-02-25,pre_earnings_day,4.3,6.95,4.1,5.95,37019,5.4806,6516
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00125000,125,put,2025-02-26,earnings_day,4.55,4.65,2.72,3.25,51185,3.7156,8141
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00125000,125,put,2025-02-27,post_day_1,0.4,5.5,0.15,5.5,166616,1.9079,22881
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00125000,125,put,2025-02-28,expiration_day,7.1,8.65,0.15,0.24,46201,3.0638,6049
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00130000,130,put,2025-02-25,pre_earnings_day,6.55,9.8,6.3,8.57,19768,7.667,3993
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00130000,130,put,2025-02-26,earnings_day,6.75,7.0,4.43,5.2,70484,5.8212,9839
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00130000,130,put,2025-02-27,post_day_1,1.17,10.0,1.13,10.0,78888,3.7173,12623
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00130000,130,put,2025-02-28,expiration_day,11.9,13.53,5.0,5.05,14360,8.7311,2942
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00135000,135,put,2025-02-25,pre_earnings_day,9.2,13.1,9.15,11.59,6192,10.9867,996
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00135000,135,put,2025-02-26,earnings_day,8.77,9.9,6.73,7.8,9645,8.0291,1950
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00135000,135,put,2025-02-27,post_day_1,2.98,14.65,2.98,14.65,12828,7.9777,1828
NVDA_Q4_2025_2025-02-26,NVDA,2025-02-26,2025-02-28,2025-02-26,O:NVDA250228P00135000,135,put,2025-02-28,expiration_day,17.05,18.5,10.05,10.05,6264,14.0708,1112
