event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00395000,395,call,2025-01-29,pre_earnings_day,18.57,20.25,14.15,15.25,16653,16.646,4719
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00395000,395,call,2025-01-30,earnings_day,19.2,20.62,4.87,9.46,28575,8.5594,8717
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00395000,395,call,2025-01-31,expiration_day,10.5,25.05,6.95,9.7,3665,15.9977,1171
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00400000,400,call,2025-01-29,pre_earnings_day,16.2,17.75,12.15,13.15,28058,14.3679,8226
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00400000,400,call,2025-01-30,earnings_day,16.15,17.46,3.5,6.4,102712,6.9985,24812
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00400000,400,call,2025-01-31,expiration_day,5.85,20.1,2.61,4.63,28091,10.2712,7163
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00405000,405,call,2025-01-29,pre_earnings_day,14.0,15.55,10.57,11.4,5089,12.4687,1897
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00405000,405,call,2025-01-30,earnings_day,13.18,13.95,2.5,4.25,54417,5.8109,13559
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131C00405000,405,call,2025-01-31,expiration_day,3.7,15.2,0.1,0.3,64078,3.4289,11893
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00395000,395,put,2025-01-29,pre_earnings_day,18.0,24.37,16.5,21.62,8949,19.7975,3046
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00395000,395,put,2025-01-30,earnings_day,3.8,15.28,1.84,3.95,40061,5.9118,9592
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00395000,395,put,2025-01-31,expiration_day,2.74,2.74,0.01,0.02,30330,0.3345,5383
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00400000,400,put,2025-01-29,pre_earnings_day,20.7,27.5,19.04,24.65,11629,24.0342,2518
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00400000,400,put,2025-01-30,earnings_day,5.4,19.0,3.15,5.95,58421,7.2447,13861
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00400000,400,put,2025-01-31,expiration_day,4.47,4.55,0.01,0.01,144909,0.5036,22080
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00405000,405,put,2025-01-29,pre_earnings_day,24.0,30.83,22.25,27.8,2019,26.5304,675
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00405000,405,put,2025-01-30,earnings_day,7.35,22.75,5.0,8.8,30688,8.4648,6939
TSLA_Q4_2024_2025-01-30,TSLA,2025-01-30,2025-01-31,2025-01-30,O:TSLA250131P00405000,405,put,2025-01-31,expiration_day,7.1,7.1,0.05,0.75,111629,1.3325,19006
