event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00105000,105,call,2025-02-04,pre_earnings_day,11.86,15.15,11.86,15.13,167,13.5186,59
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00105000,105,call,2025-02-05,earnings_day,4.35,7.2,2.88,7.2,3739,4.2654,979
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00105000,105,call,2025-02-06,post_day_1,6.04,7.54,4.3,5.2,986,5.4143,135
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00105000,105,call,2025-02-07,expiration_day,3.9,4.75,2.0,2.5,1199,2.7948,296
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00110000,110,call,2025-02-04,pre_earnings_day,8.32,11.07,8.0,11.0,1529,9.7848,441
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00110000,110,call,2025-02-05,earnings_day,1.63,2.95,0.68,2.92,77043,1.4945,13908
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00110000,110,call,2025-02-06,post_day_1,2.03,3.15,0.93,1.21,43745,1.3336,6673
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00110000,110,call,2025-02-07,expiration_day,0.49,0.7,0.01,0.01,52274,0.1891,5605
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00115000,115,call,2025-02-04,pre_earnings_day,5.5,7.67,5.25,7.65,6368,6.5722,1977
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00115000,115,call,2025-02-05,earnings_day,0.43,0.71,0.13,0.6,36496,0.3847,4781
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00115000,115,call,2025-02-06,post_day_1,0.35,0.63,0.07,0.08,18049,0.2157,2603
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207C00115000,115,call,2025-02-07,expiration_day,0.02,0.04,0.01,0.01,4122,0.0173,589
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00105000,105,put,2025-02-04,pre_earnings_day,1.35,1.51,0.55,0.58,9277,0.8874,2668
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00105000,105,put,2025-02-05,earnings_day,1.17,1.59,0.14,0.14,40672,0.8073,7645
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00105000,105,put,2025-02-06,post_day_1,0.16,0.22,0.06,0.08,7202,0.1257,1201
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00105000,105,put,2025-02-07,expiration_day,0.08,0.2,0.01,0.01,8851,0.0586,1215
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00110000,110,put,2025-02-04,pre_earnings_day,2.77,3.1,1.4,1.43,14381,1.9509,3931
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00110000,110,put,2025-02-05,earnings_day,3.85,4.4,0.82,0.84,39044,1.9853,7778
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00110000,110,put,2025-02-06,post_day_1,1.14,1.87,0.58,1.04,34804,1.243,7517
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00110000,110,put,2025-02-07,expiration_day,1.46,3.22,0.75,2.48,10192,2.0433,2516
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00115000,115,put,2025-02-04,pre_earnings_day,4.92,5.4,3.0,3.05,15998,4.2039,2943
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00115000,115,put,2025-02-05,earnings_day,7.75,8.65,3.55,3.55,8552,6.3996,1713
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00115000,115,put,2025-02-06,post_day_1,4.35,6.0,3.05,5.05,2552,4.6712,426
AMD_Q4_2024_2025-02-05,AMD,2025-02-05,2025-02-07,2025-02-05,O:AMD250207P00115000,115,put,2025-02-07,expiration_day,5.98,8.05,5.12,7.48,1769,7.0991,587
