event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00325000,325,call,2026-02-04,pre_earnings_day,22.12,22.12,13.4,15.29,1192,15.5953,315
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00325000,325,call,2026-02-05,earnings_day,1.59,9.06,0.63,8.35,25916,3.9281,5435
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00325000,325,call,2026-02-06,expiration_day,4.45,6.35,0.01,0.01,53793,0.7206,7010
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00330000,330,call,2026-02-04,pre_earnings_day,18.35,18.52,10.8,12.49,6866,13.0769,1414
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00330000,330,call,2026-02-05,earnings_day,0.76,5.6,0.3,4.94,42310,2.5333,7799
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00330000,330,call,2026-02-06,expiration_day,2.0,3.2,0.01,0.01,31522,0.4772,3722
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00335000,335,call,2026-02-04,pre_earnings_day,15.1,15.2,8.5,9.85,7916,10.2733,2062
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00335000,335,call,2026-02-05,earnings_day,0.27,3.05,0.11,2.46,23984,1.4943,4805
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206C00335000,335,call,2026-02-06,expiration_day,0.97,1.42,0.01,0.01,11811,0.246,1526
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00325000,325,put,2026-02-04,pre_earnings_day,4.35,9.52,3.75,7.11,3695,7.2259,953
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00325000,325,put,2026-02-05,earnings_day,14.5,19.4,1.45,1.56,10659,5.5306,2204
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00325000,325,put,2026-02-06,expiration_day,2.11,5.8,0.45,1.62,15642,2.4259,4750
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00330000,330,put,2026-02-04,pre_earnings_day,5.7,12.0,5.2,9.3,10714,9.0384,3332
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00330000,330,put,2026-02-05,earnings_day,19.2,23.55,2.98,3.26,5956,8.1855,1576
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00330000,330,put,2026-02-06,expiration_day,7.15,10.0,3.1,6.7,3092,6.05,623
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00335000,335,put,2026-02-04,pre_earnings_day,7.0,14.7,6.95,11.63,2800,11.4233,902
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00335000,335,put,2026-02-05,earnings_day,21.95,29.0,5.38,5.85,1888,11.0163,476
GOOGL_Q4_2025_2026-02-05,GOOGL,2026-02-05,2026-02-06,2026-02-05,O:GOOGL260206P00335000,335,put,2026-02-06,expiration_day,5.4,15.2,5.2,11.85,540,11.8322,142
