event_id,underlying_ticker,earnings_date,expiration_date,underlying_price_date_used,option_ticker,strike,contract_type,bar_date,relative_day,open,high,low,close,volume,vwap,transactions
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-22,pre_earnings_day,4.55,5.1,3.59,4.05,651,4.2577,117
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-23,earnings_day,3.85,6.45,3.85,6.36,900,5.364,124
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-26,post_day_1,6.35,6.5,5.7,5.75,59,6.0549,47
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-27,,4.61,5.69,4.3,5.69,207,4.8355,62
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-28,,5.12,6.5,4.48,4.8,177,5.2579,43
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-29,,4.41,4.41,2.55,3.25,277,3.0533,67
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00080000,80,call,2026-01-30,expiration_day,3.5,4.0,2.97,3.5,831,3.4063,211
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-22,pre_earnings_day,1.78,1.81,0.77,0.89,18907,1.1158,2675
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-23,earnings_day,0.82,2.2,0.76,2.07,19888,1.6396,3407
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-26,post_day_1,2.53,2.53,1.51,1.58,5238,1.8231,1234
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-27,,1.35,1.37,0.7,1.37,28763,0.9059,3264
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-28,,1.44,1.91,0.68,0.7,20179,1.0847,2936
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-29,,0.52,0.56,0.06,0.09,18011,0.1721,1626
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00085000,85,call,2026-01-30,expiration_day,0.07,0.17,0.01,0.01,14092,0.0572,1312
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00090000,90,call,2026-01-22,pre_earnings_day,0.37,0.37,0.13,0.15,16660,0.2007,1210
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00090000,90,call,2026-01-23,earnings_day,0.15,0.38,0.13,0.33,27524,0.2779,2591
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00090000,90,call,2026-01-26,post_day_1,0.44,0.44,0.17,0.17,22791,0.2453,2962
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00090000,90,call,2026-01-27,,0.14,0.14,0.04,0.1,11543,0.0825,1144
NFLX_Q4_2025_2026-01-23,NFLX,2026-01-23,2026-01-30,2026-01-23,O:NFLX260130C00090000,90,call,2026-01-28,,0.09,0.17,0.05,0.06,12560,0.0838,1020
